name,r2_score
Bitcoin,0.8134044280135959
Litecoin,0.3810968525915793
XRP,0.7136972727873854
Dogecoin,0.27675017961102844
Monero,0.7076684628674947
Stellar,0.521351624693692
Ethereum,0.6304181097547013
Basic Attention Token,-0.7163509472775098
BNB,0.45426480214333165
Decentraland,0.45905905750743914
Chainlink,0.7795653102473047
Cardano,0.21436013740933502
Filecoin,0.6958819433371087
Theta Network,0.8397405924033443
Huobi Token,0.052713864940238
VeChain,0.4862522689645993
Quant,0.38380255573391087
Wrapped Bitcoin,0.5912592265526229
Cosmos,-0.4275391845466372
Polygon,0.876395098006927
UNUS SED LEO,0.5021140421175143
Algorand,-0.6463392010642723
THORChain,0.6289090233370656
Terra Classic,0.5233850864119403
FTX Token,0.7121416571544689
Hedera,-0.23920293042631258
Solana,0.3952032117615054
Aave,-1.117491468504292
NEAR Protocol,-1.7907751338794462
